MAC Address,Device Name,Wi-Fi Password,Current Password
64:E8:33:87:E3:9C,esp32-lumina1,1,lumina-lab-2024
64:E8:33:88:8F:58,esp32-lumina2,1,lumina-lab-2024
64:E8:33:88:76:54,esp32-lumina3,1,lumina-lab-2024
64:E8:33:88:74:D0,esp32-lumina4,1,lumina-lab-2024
64:E8:33:88:5E:D0,esp32-lumina6,1,lumina-lab-2024
64:E8:33:87:B7:20,esp32-lumina7,1,lumina-lab-2024
64:E8:33:88:76:20,esp32-lumina8,1,lumina-lab-2024
64:E8:33:88:58:68,esp32-lumina9,1,lumina-lab-2024
64:E8:33:88:57:6C,esp32-lumina10,1,lumina-lab-2024
64:E8:33:88:70:60,esp32-lumina11,1,lumina-lab-2024
64:E8:33:87:FF:1C,esp32-lumina12,1,lumina-lab-2024
64:E8:33:88:7F:D8,esp32-lumina13,1,lumina-lab-2024
64:E8:33:88:88:C0,esp32-lumina14,1,lumina-lab-2024
64:E8:33:88:75:1C,esp32-lumina15,1,lumina-lab-2024
64:E8:33:87:EC:88,esp32-lumina16,1,lumina-lab-2024
64:E8:33:87:E6:1C,esp32-lumina17,1,lumina-lab-2024
64:E8:33:87:EA:48,esp32-lumina18,1,lumina-lab-2024
64:E8:33:87:DC:14,esp32-lumina19,1,lumina-lab-2024
64:E8:33:87:FA:E8,esp32-lumina20,1,lumina-lab-2024
64:E8:33:87:EE:84,esp32-lumina21,1,lumina-lab-2024
64:E8:33:88:6D:D4,esp32-lumina22,1,lumina-lab-2024
64:E8:33:87:D2:3C,esp32-lumina23,1,lumina-lab-2024
64:E8:33:88:60:68,esp32-lumina24,1,lumina-lab-2024
64:E8:33:88:7D:98,esp32-lumina25,1,lumina-lab-2024
64:E8:33:88:5A:40,esp32-lumina26,1,lumina-lab-2024
64:E8:33:88:9D:00,esp32-lumina27,1,lumina-lab-2024
64:E8:33:88:71:48,esp32-lumina28,1,lumina-lab-2024
64:E8:33:88:7C:D8,esp32-lumina29,1,lumina-lab-2024
64:E8:33:88:62:DC,esp32-lumina30,1,lumina-lab-2024
64:E8:33:87:FE:D0,esp32-lumina31,1,lumina-lab-2024
64:E8:33:87:D4:08,esp32-lumina32,1,lumina-lab-2024
64:E8:33:88:6E:38,esp32-lumina33,1,lumina-lab-2024
64:E8:33:87:C6:44,esp32-lumina34,1,lumina-lab-2024
64:E8:33:88:69:20,esp32-lumina35,1,lumina-lab-2024
64:E8:33:87:EE:A8,esp32-lumina36,1,lumina-lab-2024
64:E8:33:88:59:DC,esp32-lumina37,1,lumina-lab-2024
64:E8:33:87:F1:B0,esp32-lumina38,1,lumina-lab-2024
64:E8:33:88:01:30,esp32-lumina39,1,lumina-lab-2024
64:E8:33:87:D9:48,esp32-lumina40,1,lumina-lab-2024
64:E8:33:87:FD:1C,esp32-lumina41,1,lumina-lab-2024
64:E8:33:87:F3:A0,esp32-lumina42,1,lumina-lab-2024
64:E8:33:88:6E:80,esp32-lumina43,1,lumina-lab-2024
64:E8:33:88:A1:8C,esp32-lumina44,1,lumina-lab-2024
64:E8:33:87:FD:C0,esp32-lumina45,1,lumina-lab-2024
48:CA:43:D9:59:A8,esp32-lumina46,1,lumina-lab-2024
48:CA:43:D7:D0:18,esp32-lumina47,1,lumina-lab-2024
48:CA:43:D6:D2:CC,esp32-lumina48,1,lumina-lab-2024
64:E8:33:88:5B:30,esp32-lumina49,1,lumina-lab-2024
24:58:7C:35:AB:BC,esp32-lumina50,1,lumina-lab-2024
24:58:7C:35:CD:D4,esp32-lumina51,1,lumina-lab-2024
64:E8:33:88:A2:0C,esp32-lumina54,1,lumina-lab-2024
64:E8:33:88:A3:AC,esp32-lumina55,1,lumina-lab-2024